hour_bucket,cluster_size,query_count,total_cost,avg_exec_ms,scanned_mb,spilled_mb
2024-03-01 00:00:00+00:00,1.0,87,97414.5,1086.632183908046,5755.0,0.0
2024-03-01 00:00:00+00:00,2.0,124,3138875.5,3190.3629032258063,5480461.0,608.0
2024-03-01 00:00:00+00:00,3.0,509,2544135.5,1301.9489194499017,3533147.0,22974.0
2024-03-01 00:00:00+00:00,4.0,529,207590.5,303.7429111531191,93821.0,0.0
2024-03-01 00:00:00+00:00,5.0,30,2273.5,59.766666666666666,961.0,0.0
2024-03-01 00:00:00+00:00,6.0,85,97367.5,1020.7411764705882,20679.0,53.0
2024-03-01 00:00:00+00:00,8.0,51,20954.5,258.45098039215685,15547.0,0.0
2024-03-01 00:00:00+00:00,10.0,25,141835.0,2037.12,181794.0,2.0
2024-03-01 00:00:00+00:00,11.0,17,12392.5,367.4117647058824,12293.0,0.0
2024-03-01 00:00:00+00:00,12.0,1,192.5,40.0,305.0,0.0
2024-03-01 00:00:00+00:00,14.0,17,68206.0,2510.5882352941176,50322.0,73.0
2024-03-01 00:00:00+00:00,16.0,8,5371050.0,38215.625,1246320.0,888433.0
2024-03-01 00:00:00+00:00,17.0,33,124768.5,1394.090909090909,80577.0,7695.0
2024-03-01 00:00:00+00:00,24.0,59,60910.5,269.76271186440675,89989.0,0.0
2024-03-01 00:00:00+00:00,26.0,4,6094.0,1523.5,0.0,0.0
2024-03-01 00:00:00+00:00,30.0,2,50438.0,10373.5,59382.0,0.0
2024-03-01 00:00:00+00:00,32.0,10,43975.0,1398.9,59972.0,0.0
2024-03-01 00:00:00+00:00,35.0,9,18926551.5,55817.444444444445,35817739.0,103065.0
2024-03-01 00:00:00+00:00,42.0,3,81163.5,15156.0,71391.0,0.0
2024-03-01 00:00:00+00:00,47.0,2,6844.0,2360.0,4248.0,0.0
2024-03-01 01:00:00+00:00,1.0,88,1598923.5,18107.079545454544,11001.0,0.0
2024-03-01 01:00:00+00:00,2.0,125,1466371.0,3270.304,302316.0,181285.0
2024-03-01 01:00:00+00:00,3.0,518,30297230.0,1899.2220077220077,5545746.0,5308112.0
2024-03-01 01:00:00+00:00,4.0,522,607114.5,1010.4731800766283,159295.0,0.0
2024-03-01 01:00:00+00:00,6.0,88,957564.5,6125.431818181818,38313.0,79874.0
2024-03-01 01:00:00+00:00,8.0,68,15737.5,91.23529411764706,19067.0,0.0
2024-03-01 01:00:00+00:00,10.0,24,65686.0,1105.9166666666667,76598.0,169.0
2024-03-01 01:00:00+00:00,11.0,7,2348.0,315.7142857142857,276.0,0.0
2024-03-01 01:00:00+00:00,12.0,3,37148.0,6843.0,33238.0,0.0
2024-03-01 01:00:00+00:00,14.0,5,1504.0,101.4,1994.0,0.0
2024-03-01 01:00:00+00:00,16.0,9,14650587.5,84776.33333333333,3123721.0,2465148.0
2024-03-01 01:00:00+00:00,17.0,30,53926.0,877.8333333333334,55182.0,0.0
2024-03-01 01:00:00+00:00,24.0,55,60509.0,333.6727272727273,84314.0,0.0
2024-03-01 01:00:00+00:00,26.0,13,394458.0,4614.7692307692305,668932.0,0.0
2024-03-01 01:00:00+00:00,30.0,3,2713046.0,46899.333333333336,10536.0,513416.0
2024-03-01 01:00:00+00:00,32.0,49,2618749.0,3475.795918367347,4822360.0,7451.0
2024-03-01 01:00:00+00:00,35.0,3,2131.5,500.0,153.0,111.0
2024-03-01 01:00:00+00:00,40.0,2,25.0,12.5,0.0,0.0
2024-03-01 01:00:00+00:00,42.0,5,1950.0,239.2,1508.0,0.0
2024-03-01 01:00:00+00:00,47.0,1,1899.0,1899.0,0.0,0.0
2024-03-01 02:00:00+00:00,1.0,58,325087.5,5518.241379310345,10059.0,0.0
2024-03-01 02:00:00+00:00,2.0,129,6530097.5,45646.04651162791,415575.0,86794.0
2024-03-01 02:00:00+00:00,3.0,449,1122309.5,847.2806236080178,1292271.0,19149.0
2024-03-01 02:00:00+00:00,4.0,554,195262.5,256.2725631768953,106575.0,0.0
2024-03-01 02:00:00+00:00,6.0,73,194779.5,2324.205479452055,50225.0,0.0
2024-03-01 02:00:00+00:00,7.0,2,257.0,55.0,294.0,0.0
2024-03-01 02:00:00+00:00,8.0,92,204791.5,638.4565217391304,291987.0,12.0
2024-03-01 02:00:00+00:00,10.0,30,10057140.0,25326.6,171604.0,1842308.0
2024-03-01 02:00:00+00:00,11.0,4,17750.5,2309.0,17029.0,0.0
2024-03-01 02:00:00+00:00,12.0,1,1533.5,360.0,2347.0,0.0
2024-03-01 02:00:00+00:00,14.0,10,16109.5,1510.0,2019.0,0.0
2024-03-01 02:00:00+00:00,16.0,25,14812103.0,36005.12,2192310.0,2563164.0
2024-03-01 02:00:00+00:00,17.0,21,40767.5,1126.3809523809523,34207.0,2.0
2024-03-01 02:00:00+00:00,24.0,86,92902.0,510.8837209302326,97932.0,0.0
2024-03-01 02:00:00+00:00,30.0,2,172176.0,33618.0,202230.0,765.0
2024-03-01 02:00:00+00:00,32.0,20,222405.0,2998.05,324888.0,0.0
2024-03-01 02:00:00+00:00,35.0,1,1042.5,87.0,1911.0,0.0
2024-03-01 02:00:00+00:00,42.0,8,17519.5,765.5,22791.0,0.0
2024-03-01 02:00:00+00:00,47.0,3,2768399.5,10949.333333333334,5471103.0,0.0
2024-03-01 03:00:00+00:00,1.0,44,97242.0,2176.681818181818,2936.0,0.0
2024-03-01 03:00:00+00:00,2.0,122,381547.0,2733.2295081967213,94936.0,125.0
2024-03-01 03:00:00+00:00,3.0,446,35285539.5,2724.177130044843,8793123.0,5934799.0
2024-03-01 03:00:00+00:00,4.0,535,194903.0,266.57570093457946,104240.0,33.0
2024-03-01 03:00:00+00:00,6.0,80,34259.0,287.8875,22456.0,0.0
2024-03-01 03:00:00+00:00,7.0,4,7245.0,1686.25,1000.0,0.0
2024-03-01 03:00:00+00:00,8.0,68,41384.5,312.05882352941177,40199.0,13.0
2024-03-01 03:00:00+00:00,10.0,26,193271.5,2915.769230769231,233453.0,147.0
2024-03-01 03:00:00+00:00,11.0,12,185039.0,12864.0,61342.0,0.0
2024-03-01 03:00:00+00:00,14.0,14,85171.0,3352.4285714285716,68954.0,752.0
2024-03-01 03:00:00+00:00,16.0,12,34846101.0,51890.0,385802.0,6806104.0
2024-03-01 03:00:00+00:00,17.0,35,180109.5,1033.8285714285714,30831.0,25702.0
2024-03-01 03:00:00+00:00,24.0,69,889668.0,12030.826086956522,119082.0,0.0
2024-03-01 03:00:00+00:00,26.0,10,6251228.0,8967.3,12318960.0,415.0
2024-03-01 03:00:00+00:00,30.0,6,7834009.0,112458.16666666667,192190.0,1412633.0
2024-03-01 03:00:00+00:00,32.0,27,31398.5,773.0370370370371,21053.0,0.0
2024-03-01 03:00:00+00:00,35.0,2,178951.5,11637.0,309525.0,183.0
2024-03-01 03:00:00+00:00,42.0,5,11426.5,600.4,16849.0,0.0
2024-03-01 03:00:00+00:00,47.0,6,8871084.0,14988.333333333334,16098.0,1754621.0
2024-03-01 04:00:00+00:00,1.0,30,511869.5,15993.466666666667,4691.0,5944.0
2024-03-01 04:00:00+00:00,2.0,133,194872.0,1237.6992481203008,23246.0,3727.0
2024-03-01 04:00:00+00:00,3.0,432,5942713.5,2661.2546296296296,7371243.0,221486.0
2024-03-01 04:00:00+00:00,4.0,395,153835.5,264.72151898734177,98541.0,0.0
2024-03-01 04:00:00+00:00,5.0,1,482.0,482.0,0.0,0.0
2024-03-01 04:00:00+00:00,6.0,102,213282.5,1955.7745098039215,27587.0,0.0
2024-03-01 04:00:00+00:00,8.0,66,98033.0,1243.3181818181818,31948.0,0.0
2024-03-01 04:00:00+00:00,10.0,41,282312.5,2172.170731707317,353377.0,3313.0
2024-03-01 04:00:00+00:00,11.0,14,51845.5,2800.285714285714,23253.0,203.0
2024-03-01 04:00:00+00:00,12.0,2,30055.5,6423.5,34417.0,0.0
2024-03-01 04:00:00+00:00,14.0,5,6251.0,656.2,5940.0,0.0
2024-03-01 04:00:00+00:00,16.0,10,307898.0,9447.9,412248.0,1459.0
