day_bucket,total_cost,query_count,avg_cost_per_query
2024-03-01,1429527349.0,47254,30251.98605409066
2024-03-02,2458399841.0,45711,53781.36205727287
2024-03-03,589154687.0,48310,12195.294700890085
2024-03-04,678466362.5,44707,15175.841870400609
2024-03-05,766608240.0,45614,16806.42434340334
2024-03-06,641774691.5,41202,15576.299487888937
2024-03-07,506815070.5,34854,14541.08769438228
2024-03-08,515699661.0,45044,11448.798086315603
2024-03-09,606026844.0,43479,13938.380459532187
2024-03-10,1071741769.5,46054,23271.41550136796
2024-03-11,796975302.0,54011,14755.796078576586
2024-03-12,657577248.0,47180,13937.62713013989
2024-03-13,2549562110.0,43315,58860.951402516446
2024-03-14,618793491.0,34719,17822.906506523806
2024-03-15,749330801.5,44850,16707.487212931996
2024-03-16,854377733.0,47004,18176.702684877884
2024-03-17,874073668.5,53679,16283.344855530095
2024-03-18,694500361.0,57573,12062.952442985426
2024-03-19,1147500437.5,49907,22992.77531208047
2024-03-20,964552160.0,40955,23551.51165913808
2024-03-21,1083984906.5,42183,25697.198077424557
2024-03-22,778788677.0,49930,15597.610194271982
2024-03-23,1601164720.5,45450,35229.14676567657
2024-03-24,577992473.5,44520,12982.759961814914
2024-03-25,730664833.5,43782,16688.703885158284
2024-03-26,878191900.5,49499,17741.608931493567
2024-03-27,785149005.0,43979,17852.816230473636
2024-03-28,611156374.5,34334,17800.325464554087
2024-03-29,770513880.5,45930,16775.830187241456
2024-03-30,1213949998.0,52209,23251.738167748856
2024-03-31,722253457.0,46638,15486.372850465286
2024-04-01,726974497.5,43654,16653.10160580932
2024-04-02,1114797016.5,48020,23215.264816743023
2024-04-03,844346895.5,41527,20332.47996484215
2024-04-04,826481848.5,40348,20483.836832061068
2024-04-05,900418474.0,46564,19337.22347736449
2024-04-06,1399220283.0,52379,26713.38290154451
2024-04-07,780919930.0,47705,16369.771093176816
2024-04-08,1274023360.5,42113,30252.49591575048
2024-04-09,806181067.5,45085,17881.358933126317
2024-04-10,717685794.0,40981,17512.64717796052
2024-04-11,1275518766.0,35832,35597.19708640321
2024-04-12,745938578.0,49897,14949.567669398963
2024-04-13,1011633851.0,50079,20200.759819485214
2024-04-14,1662457498.0,51197,32471.775650917047
2024-04-15,709194855.0,58479,12127.342379315653
2024-04-16,749742800.0,56524,13264.14974170264
2024-04-17,1050630268.5,42296,24839.94393086817
2024-04-18,480749029.5,45360,10598.523578042328
2024-04-19,1322685411.0,50723,26076.640005520178
2024-04-20,1353253146.0,53471,25308.169774270165
2024-04-21,739041149.5,61482,12020.447439901109
2024-04-22,802761929.5,55019,14590.63104563878
2024-04-23,1073220895.0,53918,19904.686653807636
2024-04-24,555292175.0,49334,11255.770361211335
2024-04-25,772222103.0,43914,17584.872774058385
2024-04-26,1752369116.0,54320,32260.108910162002
2024-04-27,1170580512.5,56066,20878.616496628973
2024-04-28,1330365630.0,56100,23714.182352941178
2024-04-29,1060508169.0,50234,21111.362204881156
2024-04-30,586498166.0,51994,11280.112436050313
2024-05-01,756355374.5,47552,15905.85831300471
2024-05-02,707880029.0,39542,17901.978377421477
2024-05-03,651971967.5,49825,13085.237681886603
2024-05-04,3638810431.5,61523,59145.529826243845
2024-05-05,487715863.0,54148,9007.089144566742
2024-05-06,999796249.5,49796,20077.842587758052
2024-05-07,730172807.5,50060,14585.953006392328
2024-05-08,518882903.5,41293,12565.880500326932
2024-05-09,248557535.0,37777,6579.599624109908
2024-05-10,531580300.5,48790,10895.271582291452
2024-05-11,588291386.5,63078,9326.411530168996
2024-05-12,610338044.0,55752,10947.374874443965
2024-05-13,535701088.5,50058,10701.607904830396
2024-05-14,883406322.0,54377,16245.955495889806
2024-05-15,642917647.5,46045,13962.811325876859
2024-05-16,430030734.0,39751,10818.111091544866
2024-05-17,972014984.5,46590,20863.16772912642
2024-05-18,764780571.0,51242,14924.877463799226
2024-05-19,470516151.0,46616,10093.447550197357
2024-05-20,774663431.0,49499,15650.082446110022
2024-05-21,1794749056.0,51775,34664.395094157415
2024-05-22,923873611.0,45712,20210.745777913897
2024-05-23,700390257.5,39256,17841.610390768292
2024-05-24,791725946.5,49024,16149.762289898825
2024-05-25,1107205959.0,52252,21189.733579575903
2024-05-26,938521803.5,54354,17266.839671413327
2024-05-27,1084539077.5,57125,18985.366783369802
2024-05-28,730710492.5,47944,15240.916329467713
2024-05-29,1400375208.0,42155,33219.67045427589
2024-05-30,549935537.5,19676,27949.55974283391
